,job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
9338,9339,Ruby On Rails Developer,"IT, 25, Milano",Development,26000-31000,"we are a digital creative studio focused on UX &amp; UI Design.we build delightful websites and applications with WordPress and Ruby On Rails.CareersWe are looking for people to join our team of passionate designers and talented engineers. We are based in Milan (Italy), in Talent Garden “Passion Working Space”.","Moze is looking for talented developers to deliver delightful, top-quality design products.Join us if:You are a web developer who strives to build a top-quality, state-of-the-art web product.You mix technical skills in back-end and front-end development in order to provide a superior experience for the user.You have a big appetite for mastering new skills and technologies and use your spare time to code loosing count of your GitHub repos.","Strong knowledge of Ruby, object-oriented design patterns and TDD.2+ years of Ruby on Rails experience.Front-End development (HTML5, CSS3, JavaScript, jQuery).Experience with relational databases and key-value stores.Basic knowledge of *nix systems.Strong spoken and written communication skills.Versioning Control (Git/GitHub).PREFERREDBS/MS Degree in computer science or equivalent.Understanding of UX and usability basis and design patterns.Thirst for knowledge and willingness to improve your skills.",MacBook Air.Workstation desk and meeting rooms &amp; relax-spaces inside Talent Garden.Chance to work and growth in a team of young talented engineers.Gross Salary € 25.000 to € 31.000.,0,1,1,Full-time,Associate,Bachelor's Degree,Information Technology and Services,Engineering,0
9341,9342,Executive Search Consultant,"ID, JW, Jakarta",Wisma Metropolitan I,25000-35000,"Local expertise with an international perspective.Want to do more than just get from point A to point B?Bridging gaps, solving problems, creating smooth transitions. Excelling through experience and intelligence, knowledge and innovation. At each step, thinking outside of the box, around the box, about the box. One part local, one part international, and one part pure guts.Multi-talented – a star of all trades. Taking the “artificial” out of “artificial intelligence” and replacing it with creativity, zeal and a need to succeed.Tech-savvy. An arsenal of tools specially created for the recruitment process …and the smarts to use them. A source not of automatons or cookie-cutter moulds but of people – people with faces, names, personalities and the right stuff for the job.Driven yet conscientious. Passionate yet reputable. Pushing the standards of the recruitment industry to be better. Placing the right people in the right places. Specializing in executives and beyond. Envisioning solutions for the short and long term. This is why they come back for more.","Passionate about your Clients’ business, you are committed to find the Candidates who will contribute to their success in Indonesia and across the Asia – Pacific region.With a proven track record in Business Development, Sales and Key Account Management, you understand Clients’ requirements and their challenges. You are keen to build bridges among the various stakeholders. You can sustain your efforts over time to ensure that each Executive Search assignment under your responsibility is brought to a successful completion.Over the years, you have gained a solid business acumen and professional network within one or more industries. You have established a trusted reputation for your Market insight and shrewdness.","Driven and Motivated, you are an out-going and social Business networker. You understand how to translate new acquaintances and relationships into Business opportunities. You can persevere until a deal is closed and an assignment is completed. You take responsibility for your work and remain accountable regardless of the output.A Sciences or Business graduate from a leading University, with minimum of 8 years of relevant experience, you have a proven track record at dealing with senior – C level – Executives.Fluency in English and extensive Social Media presence are an absolute pre-requisite.","Facing demanding Clients and extraordinary challenges in a highly complex and tight Executives market not only in Indonesia but also across the Asia – Pacific region, we understand that the PeopleSource support to its team members is essential to both their individual success and the one of the Company.It is crucial to provide an holistic Compensation &amp; Benefits package to the selected candidates encompassing both cash and no-cash components. And also personal development opportunities and a comprehensive team-based incentives and motivational reward program.",0,1,1,Full-time,Associate,Bachelor's Degree,Staffing and Recruiting,Consulting,0
9370,9371,Sales Manager - Bespoke Augmented Reality Solutions,"GB, LND, London",Commercial/Marketing,22000-25000,"As augmented reality jobs go, one at Blippar is hard to beat. We are a rapidly expanding creative startup at the forefront of a brand new industry, so working here offers real opportunities to shape an innovative technology and the way in which people use it.Because of this, we like working with imaginative people who think outside the box, and we love people who throw the whole box away and build something completely new. Our bright, open, centrally located offices are energetic environments bursting with collaborative ideas and boundless enthusiasm.Aside from being part of an exciting, driven, super-friendly team that will nurture your talents and help you grow, at Blippar you’ll find plenty more tangible benefits, including weekly free lunches, evening drinks, and Olive, the office dog.You’ll also be working intimately, from the start, with some of the world’s biggest brands - from Coca Cola and Nestle to Conde Nast, P&amp;G and Jaguar.As a young, growing company spearheading the exciting augmented reality industry, the biggest perk of all is the creative control you’ll be afforded, whether you’re part of the design, tech, commercial or marketing teams. After all, we think our people are amazing, so we want them to stick around.","An incredible opportunity to join our growing business development team and help expand our existing client portfolio across the UK and EMEA.As a Business Development Executive you will have the power to offer our groundbreaking augmented reality advertising solutions to the world’s biggest brands and agencies. Reporting to one of the Senior Business Development Managers, you will support their sales strategies by identifying and approaching the correct individuals within large organisations, highlighting the unique value proposition Blippar can add to their businesses.The role involves generating leads, email approaches and face-to-face meetings, as well as converting inbound enquiries. We do not have a KPI-led sales strategy; there is no ‘100 calls per day’ target. Instead, you will identify key contacts, persistently approaching them to ensure they consider Blippar as part of their overall business strategy.","We are looking for confident, commercially-minded people who understand the impact Blippar can have on businesses and brands. You will be able to identify opportunities and then pitch creative methods for using augmented reality across all areas of a business.Ideally, you have experience selling to C-level marketing contacts, knowledge of pitching bespoke creative products, and a hunger for closing deals. Successful candidates will have:Two years of B2B sales experience (Ideally in advertising, digital or marketing technology)Proven track record hitting and exceeding sales targetsExcellent client-handling skillsStrategic mindset (understanding of how Blippar will benefit the client)Understanding of the digital marketing landscape (agencies, adtech)Agile and creative approach to business developmentWorking knowledge of CRM/Sales software","Our bright, open, centrally located offices are energetic environments bursting with collaborative ideas and boundless enthusiasm. As a growing company spearheading the exciting augmented reality industry, the biggest perk of all is the creative freedom and control you’ll be afforded; this is a genuine opportunity to shape a brand new medium and the way in which people all over the world use it.You will be working closely, and from the start, with some of the world’s leading brands, media agencies, publishers and educators - including Pepsi, Warner Brothers, Procter &amp; Gamble, Conde Nast, Disney and Coca Cola - developing creative augmented reality solutions for global powerhouses across the full spectrum of industries. What we are doing has never been done before, so an active imagination is something we value particularly highly.Blippar’s senior management team are dedicated, hands-on, approachable people who will nurture your talent and encourage the development of your own ideas; we believe these are key to the continued success story of our platform.Being part of Blippar’s close-knit, passionate, forward-thinking team affords plenty of potential for learning about and getting involved in all sections of the business. As a creative tech company offering spectacular marketing solutions to clients, there are few areas we don’t touch upon. Life at Blippar is a steep learning curve, ideal for ambitious candidates who wish to push themselves into completely uncharted territories.We also offer:Competitive packagesGreat benefits and shares schemeEmployee incentive schemeFlexible working environmentWeekly beers and free lunchesOur office dog (London)International travel opportunitiesChance to develop groundbreaking techWork with state-of-the-art hardware and softwareAccess to new wearables including Google GlassA challenge to change the worldChance to shape a new industryCreative freedom and controlExperience with all mobile operating systemsCollaborative opportunities with huge brandsPlease apply now for more information about this role, or check our careers page for details of other opportunities to work with us.",0,1,0,Full-time,Associate,Unspecified,Internet,Business Development,0
9420,9421,Inside Sales,"US, GA, Atlanta",Sales,40000-50000,"Ideal CRM is a sales consulting firm focused on Customer Relationship Management. We specialize in building and implementing high performing sales teams to increase productivity and profitability for businesses organizations. With more than 50 years of experience, our team has developed a proven and repeatable system supported by industry leading technology to improve profitability and effectiveness.Our ApproachWe invest time to get to know the ins and outs of your business before designing a program that aligns with your vision and objectives to ensure success.ASSESS: We invest time to get to know your business to align your requirements with your goalsIMPLEMENT: We develop and implement a custom training program to take your sales, marketing, and customer service team to the next level.EVALUATE: Performance objectives and goals are evaluated to ensure success. ","Customer Relationship Management specialist company looking to hire Inside Sales Representatives. This is a telecommute position, so Candidates must feel comfortable working from home.Responsibilities:Participate in Training RequirementsAchieve monthly, quarterly, and yearly targetsSchedule appointments for agents to meet with ready and willing buyers/sellersTrack activity and log calls",Qualifications:High School Diploma or EquivalentHome Computer with Internet Access,"Compensation: Hourly rate $14 - $17.50First year expected income with commission: $50,000 (uncapped)",1,1,0,Full-time,Entry level,High School or equivalent,Marketing and Advertising,Sales,0
9436,9437,Director of Sales - Weave The People,"US, IL, Chicago",Weave The People,55000-60000,"The story of the Great Chicago Fire of 1871 isn’t really about the fire. It’s about what happened next: A remarkable moment when the most brilliant engineers, architects and inventors came together to build a new city. Their innovations – born of passion and practical ingenuity – shaped not just Chicago, but the modern world. What started 140 years ago continues to this day.Chicago’s brightest digital designers, engineers and entrepreneurs are shaping new technologies, disrupting old business models, and resetting the boundaries of what’s possible. If that sounds like you, join us.Come to a place where you can share ideas, make mistakes, work hard, build your business and, with a little luck, change the world.Welcome to 1871.From photo-editing apps to interactive healthcare programs, 1871 has a member company that fits your interests and expertise! Whether you’re a designer, a marketing expert, or software developer, we have a startup looking for you. Each company is looking for a way to innovate their industry and is looking to do so in creative and original ways. We are looking to match you with one of our amazing member companies based on the information you provide to us and their current needs. If you believe that you have the skills and vision to help digital startups get their start, 1871 is the right place for you!","Director of Sales - WeaveThePeople (#URL_84c893d947f85f5aaf7e3af52cb8ed5a1d7da4798dd891cc7c11d9b25ed94529#)Sales ManagementAccount ManagementOptional Roles: As with all Weave positions, the organization will accommodate every individual to allow time to be spent working in your own zone of genius. You may choose from some of these open roles or create your own:Business Development ManagerMarketing CoordinatorAccountabilitiesFinding the right customers who are ready to WeaveIncreasing the number of Weave BelieversLearning about the needs and priorities of potential customersClearly communicating the value Weaves bringUnderstanding and explaining how we WeaveSetting the delivery team up for a successful projectInforming the team about the needs of the marketIncreasing revenueLocationsChicago (downtown at Merchandise Mart in the 1871 space)San Francisco (downtown)",Skills and Experience NeededEmotional intelligenceSelf awarenessActive listeningConflict resolution,Salary being offered will increase as company revenue grows. Generous commission package being offered for six figure OTE.,0,1,0,Full-time,Director,Bachelor's Degree,Information Technology and Services,Sales,0
9441,9442,Account Manager - WeDeliver,"US, IL, Chicago",WeDeliver,40000-45000,"The story of the Great Chicago Fire of 1871 isn’t really about the fire. It’s about what happened next: A remarkable moment when the most brilliant engineers, architects and inventors came together to build a new city. Their innovations – born of passion and practical ingenuity – shaped not just Chicago, but the modern world. What started 140 years ago continues to this day.Chicago’s brightest digital designers, engineers and entrepreneurs are shaping new technologies, disrupting old business models, and resetting the boundaries of what’s possible. If that sounds like you, join us.Come to a place where you can share ideas, make mistakes, work hard, build your business and, with a little luck, change the world.Welcome to 1871.From photo-editing apps to interactive healthcare programs, 1871 has a member company that fits your interests and expertise! Whether you’re a designer, a marketing expert, or software developer, we have a startup looking for you. Each company is looking for a way to innovate their industry and is looking to do so in creative and original ways. We are looking to match you with one of our amazing member companies based on the information you provide to us and their current needs. If you believe that you have the skills and vision to help digital startups get their start, 1871 is the right place for you!","We’re looking for the next generation of sales pros that want a place to launch their careers while having fun, making money, and helping to change the face of local commerce as we know it.At WeDeliver, we help local merchants reach new and existing customers through on-demand delivery. Your job would be to manage and expand/cultivate our relationships with local businesses that want the ability to compete against the giants of e-commerce like Amazon and Ebay by providing same day delivery from their storefront.As an Account Manager for WeDeliver, here is what you would be doing:Establishing productive, professional relationships with key personnel in assigned customer accounts.Welcoming new merchant partners to the WeDeliver platform and training them on how to use the service.Identifying opportunities to increase sales and cross promote in order to meet assigned targets for growth &amp; retention.Motivating merchant partners to incorporate WeDeliver into their daily operations, take advantage of our promotional opportunities, and increase their sales.Analyzing account usage and maintain high customer satisfaction ratings that meet company standards.","This is what we’re looking for right now:A self starter with superior organization skills, attention to detail and a strong work ethic.A people person who is passionate about cultivating and maintaining relationships with our merchant partners by being attentive, accountable and proactive.Passionate, calm, assertive, and motivated are all qualities that we admire.A desire to be the best at anything you set out to do and the mental strength to not get deterred by setbacks.The ability to thrive on change, learn quickly, and think on your feet.",What’s in it for you?Personal growth at an early stage award winning tech startup.An exceptional team that supports each other and is focused on changing the landscape of local commerce.Salary position with equity incentives based on experience.Flexible vacation policy.Central Headquarters in River North.Monthly team Happy Hours and mentoring workshops.Take our divvy for a spin whenever you want to cruise around for meetings.Enjoy free deliveries from some of Chicago’s top retailers.,0,1,0,Full-time,Associate,Bachelor's Degree,Logistics and Supply Chain,Sales,0
9488,9489,Human Resources Manager,"EG, C, Cairo, Nasr City",Human Resources,168000-216000,"Thanks for visiting our Job Board. Please review our open positions and apply to the positions that match your qualifications.Cequens is a global cloud communication carrier with customers in over 40 countries, specialized in advanced Mobile Messaging Services all over the world. Its activities include providing MT (Mobile Terminate) and MO (Mobile Originate) connectivity for large SMS clients and aggregators ranging from enterprises to multi-nationals and public sector organizations, supplying high quality SMS solutions for business use, the company is a licensed SMS aggregator in Egypt and Saudi Arabia and maintain branches in those countries.Vision To be the number one, most successful messaging company in the markets we serve.Mission""To Unleash the World's Power to Communicate""Our Core valuesInnovationExcellenceTeamworkFlexibilitySecuritySustainabilityCequens Team                                                            We believe in choosing the best calibers and assisting them in continuing to develop their potential and qualifications. A good working environment, the right motivation and great teamwork is the way we use to successfully achieve our goals.","Job briefWe are looking for a skilled human resources manager to oversee all aspects of Human Resources practices and processes.  You will support business needs and ensure the proper implementation of company strategy and objectives.The goal is to promote corporate values and enable business success through job design, recruitment, performance management, training &amp; development, employment cycle changes, talent management, and facilities management services.Main duties and responsibilitiesDevelop and implement HR strategies and initiatives aligned with the overall business strategySupport current and future business needs through the development, engagement, motivation and preservation of human capitalDevelop and monitor overall HR strategies, systems, tactics and procedures across the organizationBridge management and employee relations by addressing demands, grievances or other issuesNurture a positive working environmentManage the recruitment and selection processOversee and manage a performance appraisal system that drives high performanceMaintain pay plan and benefits programAssess training needs to apply and monitor training programsReport to management and provide decision support through HR metricsEnsure legal compliance","3 years of experience as HR ManagerBS degree in Human Resources or related fieldPeople oriented and results drivenDemonstrable experience with HR metricsKnowledge of HR management systemsAbility to architect strategy along with leadership skillsExcellent active listening, negotiation and presentation skillsCompetence to build and effectively manage interpersonal relationships at all levels of the organizationIn-depth knowledge of labor law and HR best practices","Attractive pay prepackagesMobile allowanceTransportation allowancePersonal loansFlexible hoursMedical and Vision insuranceLife insuranceSocial insurancePaid vacationsSocial activitiesTraining &amp; developmentTuition assistanceProfit ShareCequens Team                                                          We believe in choosing the best calibers and assisting them in continuing to develop their potential and qualifications. A good working environment, the right motivation and great teamwork is the way we use to successfully achieve our goals.About usWe are a leading Telecommunication Carrier specializes in enterprise communication services and solutions. Serving hundreds of renowned customers in more than 40 countries worldwide, please visit our website #URL_414f2c0c30d37b5a8db0880b6d51f6b9b08fc03a22553f0d0a568b2687dc8e3e# to know more about us.",0,1,0,Full-time,Mid-Senior level,Master's Degree,Telecommunications,Human Resources,0
9500,9501,Senior Accountant,"TH, 10, Bangkok",Management,30000-50000,Smart Search delivers executive search solutions tailored for global organizations committed to the Greater Thailand market. We commit to securing the “best-fit” executive talent to lead and manoeuvre global businesses in the constantly changing dynamics of South East Asia. ,"Our client is a globally known multinational clothing and accessories retailer that currently operates over 3,100 retail stores internationally.  With brands that are widely well known, and stores that are continually growing into new market, our client is at the forefront of the fashion industry and continually entering and dominating new markets. Due to an overwhelming demand for their products, our client is aggressively expanding their SE Operations and is seeking an experienced fixed Assets Accountant to join their global organization.The Senior Accountant will report to the Financial Controller and assume the following key responsibilities:Responsible for the fixed assets and inventory accountingProcessing of all entries related to through the SAP SystemPrepare record of accrued expenses related to service agreements, car and other lease agreements.Issue withholding tax certificates to suppliers, summarize and prepare a monthly report to Revenue Department.Match invoice, our purchase order and against bill placement from supplier and also prepare payment voucher.Monitor detail of account payable and other liabilities and reconcile with general ledger.Monitor records of VAT temporary for services and prepare VAT reconciliationPrepare withholding tax report and send completed report timely to the Revenue Department.Any other jobs assigned by the Finance Manager.","Qualified to degree level in an accounting subject.Minimum 5+ years’ experience in an accounting environment with a strong background in fixed assets.Sound knowledge of SAP, intermediate-advanced experience using Microsoft Excel.Good analytical and communication skills.Good written and spoken English skills","Our client offer the right candidate a rewarding opportunity is a global company that recognizes their employees with an industry leading compensation package and excellent promotional and training opportunitiesThai Nationals that feel excited by a challenge and want to be part of a proven company with an outstanding future, please apply below. ",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Retail,Management,0
9503,9504,Applications Engineer,"NZ, N, Auckland",Engineering,90000-120000,"PowerbyProxi and its customers are leading a revolution to deliver unplugged power. We have changed the way electricity is delivered in hostile industrial environments. We are now also developing wireless charging technology for consumer electronics and have an impressive portfolio of clients consisting of electronics heavyweights from around the world. PowerbyProxi was spun out of The University of Auckland in 2007 to commercialize cutting edge research undertaken by its internationally acclaimed scientists and engineers. As a pioneer in the design and development of turnkey wireless power solutions, PowerbyProxi eliminates the need for a physical or frictional power connection. We provide our customers with unplugged solutions that solve continuity of delivery and maintenance pain points, create unique competitive advantages, deliver significant cost savings and secure product design wins.","PowerbyProxi is one of NZ's more promising High-Tech companies and a leader in developing Wireless Power Technology. Together with our customers, we are leading a global revolution in delivering unplugged power for both consumer and industrial applications. Spun out of research at the University of Auckland in 2006, PowerbyProxi to date holds the most comprehensive portfolio of patents in Inductive Power Transfer (IPT). Our company continues to see exponential growth and gain in market share with global partnerships and alliances with multinational conglomerates. We are now recruiting for a few newly created positions of Application Engineer (AE) for both our Consumer and Industrial teams. Based out of our Auckland headquarters, the Applications Engineer position has client-facing accountabilities for providing support for pre-sales and post-sales to our Business Development and Sales Team.  The AEs will provide technical expertise in creating demand for PowerbyProxi products, qualifying prospects, achieving design-wins, and on-going support to existing customers throughout their product life-cycles.Job Description / ResponsibilitiesMeet with customers to understand requirements and translate into technical specs for the engineering organization to understand design criteria for product implementation,Facilitate discussions between customers and engineering design teamsSupport the Business Development and Sales Team with technical proposals and Statement of Work including technical specifications, testing and certification demands , milestones schedules, and NRE feesAuthor technical product briefs, applications papers, and value proposition briefs/success to support customer applications and future sale support materialsAssist customer to test evaluation units or Proof of Concept (PoC)  designs to validate how they will meet customer needsSupport prospects and customers to evaluate and qualify PowerbyProxi technology and solutionsProvide off-site and on-site technical assistance, as required, on a world-wide basis.Active participation in internal design reviews to represent the Voice-of-the-CustomerParticipation in technical societies and associations that will support integration of Proxi technologies into various industrial vertical markets. ","Key SkillsDomain knowledge of power electronics, industrial automation and machine control systems, and the ability to transfer this rapidly to a full understanding of wireless power transfer solutionsAbility to quickly analyse and understand the dynamics of a consumer or industrial application, glean critical performance and application needs of the customer, visualize potential solutions implementation methods and translate this to a specification for both engineering teams and customer teamsTechnical skills to understand electrical requirements, limitations and “what is feasible” for various power levels from mW for rechargeable batteries in hand held devices to kW for high power solutions like wind turbines or off shore oil/gas.Ability to read power/electrical schematics, mechanical design documents like CAD, and integration possibilities for the two to device customer solutions.Domain knowledge of wireless power safety and regulatory requirements as well as test procedures to insure complianceCompetitive understanding of alternative power/wireless power solution to promote PowerbyProxi advantagesExperience in analysing technical issues and engaging engineering to resolve themExcellent problem solving skills to achieve customer confidence and satisfactionFamiliar with PCB and electrical circuit design, CAD packages Eagle CAD and Altium DesignerExperience and EducationTertiary qualifications with a preference for Bachelor’s in Electrical EngineeringMinimum of 5 years’ experience with Power Electronics and/or process control and automation in industrial or consumer electronics environments on mission critical applicationsMinimum of 5 years’ experience with project management/ primary responsibility working on power systems, including designing and/or installing new or upgraded electrical/automation  technology on OEM products or currently installed systemsMinimum of 3 years’ experience as an Application Engineer supporting customer interface and technical interface to internal engineering/development teams","If you are a power electronics design engineer looking to develop your career into client-facing roles, this is an excellent opportunity for you to join a global leader that is on a growth trajectory. Our culture is collegial, results-driven and rewards for high performance. Overseas candidates are welcome to apply but must have at least 6-8 years relevant power electronics experience. ",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Electrical/Electronic Manufacturing,Engineering,0
9579,9580,International growth strategy consultant - Contract position,"US, GA, Atlanta",Katapult Group,40000-100000,Katapult Group - We leverage technology and relationships to accelerate profit generation. ,"Katapult Group builds global businesses. We help entrepreneurs across small and large organizations create and grow companies. See our website here:#URL_5c443da84bc26c27a8747d06dfa375f8844e0b78dd33ffada247fa513d6237a5#. Our team is working with a portfolio of internationally based technology companies to help them assess and grow in the US market. We currently have an immediate opening for a Consultant to join our team in Atlanta to support the project. We are looking for a polished individual with previous go to market and internationalization expertise who will be able to take the lead and act as Project Manager and Lead Consultant on the project. This is a contract opportunity that could turn into employment with our firm. About the project:Goals: The goal is to assist the foreign based technology firms with assessing the US market and defining the go to market approach in the US market. The final outcome is to develop a number of go to market insights and recommendations that can be taken action on. Deliverables:Facilitation, leadership and recommendation summary of a number of end-customer and re-seller/distributor meetings (phone and face to face meetings)Pre-meeting market analysis summary reportsPost meeting preliminary go-to-market recommendation document Working processes and approach:You will be exposed to C-suite executives to include CEO, VP Sales and Owners. We utilize a proprietary framework based on Lean Startup principles to rapidly gain actionable market insights and deliver high value recommendations.","Rapidly understand the client's business model through the Business Model Canvas framework to enable discussion of possible opportunities and challenges of going to market in the USAFacilitate, lead and summarize on phone calls and face to face meetings with highly relevant (and preferably pre-screened for interest in our client's products) End-users, Influencers, Decision makers and Financial Buyers within end-customer organizations (US based Fortune 1000's and mid-size companies). Securing good meetings is the most critical aspect of this project!Leverage an existing rolodex of contacts and find additional ways to reach target meeting prospects within US based Fortune 500 and mid-size organizationsAttention to detail: The candidate will be required to update client files and CRM Act as Trusted Advisor to Katapult Group's international clients by offering experience based advice as it relates to evaluating the market and finding the optimal go-to-market approachCreate presentations in Keynote/Powerpoint Outbound calling to secure meetingsLeveraging LinkedIn and other tools to identify and connect with relevant meeting prospects Facilitate strategy sessions with our clientsYou will be expected to Project Manage the engagement acting as Lead Consultant. You will be exposed to C-suite executives to include CEO, VP Sales and Owners and coordinate and facilitate necessary communication with said.It is vital that you've previously managed international market assessment and go-to-market projects. The perfect candidate will be a polished individual with previous go to market and internationalization expertise and with a solid understanding of what it takes to bring to market enterprise type technology products. Securing good meetings is core to delivering on this project why we are looking for a candidate with a strong rolodex of contacts across a variety of industries. ",Compensation: Compensation based on experience.This is a contract opportunity that could turn into employment with our firm. ,0,1,1,Contract,Associate,Bachelor's Degree,International Trade and Development,Consulting,0
9628,9629,HR Executive,"IN, MP, Indore",HR,180000-240000,"Being into the IT domain for over 4 years, Walkover specializes in web based application development and mobile application development. It has been creating innovative products since it was founded and continues to introduce new products from time to time.Technologies we useCore PHP, Python, #URL_968b3a839b798052f33a95a811f8b2366cd66f6bcc98f2885bea5ee47d000659#, Android, Windows, open source software and powerful AWS servers. Walkover uses the best available technology - premium version of databases and so on, so that our products work smoothly.Key ProductsMSG91 (SMS solutions provider)MSG91 is an internet based service that allows you to send SMS and critical alerts to the masses.Product info:#URL_dec6f6c8d9574a0bc1a076d97338f24cd6025226211457c53c3687296348c0f4#UtterU (International calling)UtterU enables international calling by using mobile dialers, access numbers and other ways like two-way calling.  It helps you connect all over the world at very low cost.Product info: #URL_c7cee061daffb40439ee81a61a60ff7f68ca42dd3fd22258a611ff29d71dbae5#Giddh (Accounting software)Giddh is an extremely simple to use Accounting software that manages your day to day financial transactions in a systematic way so that it enhances the efficiency of your business.Product info: #URL_50c92cae3ee0f3f612d663ce1c86fd894e4c1a6247b98a273f0c828e13c68de2#Saveandsearch (Save your documents now to search them later)A web based tool which enables you to save anything and search later.Product info: #URL_cbcbf9e91b0d65022dfffc9fcab1f6005b8f6f42b967c08f21d13332ff197003#","Develop and execute recruiting plans.Network through industry contacts, association memberships, trade groups and employees.Coordinate and implement college recruiting initiatives.Administrative duties and recordkeeping.","Good Presentation Skills Sound Communication, Should take initiative",Flexible Work Timings.,0,1,0,Full-time,Entry level,Bachelor's Degree,Information Technology and Services,Human Resources,0
9634,9635,Technical Support Associate,"US, AZ, Phoenix ",Technical Support,25000-30000,"AboutPPD Partners provides English and Spanish contact center outsourcing to companies that want more from their customer relationships.We position our clients for success by delivering inbound contact center services that allow them to focus on their core business while maximizing profit. We deliver the brand promise of our clients by working with them to understand and apply the knowledge, behaviors, and values at the core of their success.MISSIONTo support our Clients competitive goals and brand recognition through meaningful interactions with their customers by providing quality driven contact center solutions.","We are looking to hire motivated people to add to our team of Technical Support Associates. We provide Support services for thousands of business Nationwide.Job Summary: Troubleshoot via chat, email and phone customer problems with computer hardware and software issues as well as client specific equipment and applications by performing the following duties.Essential Duties and Responsibilities include the following. Other duties may be assigned.- Answers incoming inquiries, responds to customer questions and solves problems according to standardized procedures while maintaining a courteous manner.– Asks effective questions and gathers information to determine source of problems and customer needs.– Logs on/off customer care system and accesses account files.– Enters alpha and numeric data via computer keyboard into an automated system accurately.– Accurately captures all customer and issue related information in the proper database.– Leads customers through documented process of fixing their software, hardware, or network problems.– Uses product information, multiple client tools, client specific reference materials, scripting, advanced technical knowledge, and customer service skills and problem solving skills to diagnose and solve customer problems.– Stays current with latest technology changes.","Our entry-level Technical Support Reps answer inbound calls from customers and respond to questions about phone, internet and cable TV issues. Successful Technical Support agents have the following qualifications:- Ability to troubleshoot and resolve customer issues– Ability to utilize on-line resources to resolve issues– Ability to engage with customers while solving problems– Ability to accurately type 25 wpm– Ability to talk and enter customer data at the same time","We offer a comprehensive benefits package, 401(k), paid training, paid time off, promotional opportunities and more!!",0,1,0,Full-time,Entry level,High School or equivalent,Consumer Services,Other,0
9635,9636,Platform Software Engineer - Narrative Science,"US, IL, Chicago",Narrative Science,70000-85000,"The story of the Great Chicago Fire of 1871 isn’t really about the fire. It’s about what happened next: A remarkable moment when the most brilliant engineers, architects and inventors came together to build a new city. Their innovations – born of passion and practical ingenuity – shaped not just Chicago, but the modern world. What started 140 years ago continues to this day.Chicago’s brightest digital designers, engineers and entrepreneurs are shaping new technologies, disrupting old business models, and resetting the boundaries of what’s possible. If that sounds like you, join us.Come to a place where you can share ideas, make mistakes, work hard, build your business and, with a little luck, change the world.Welcome to 1871.From photo-editing apps to interactive healthcare programs, 1871 has a member company that fits your interests and expertise! Whether you’re a designer, a marketing expert, or software developer, we have a startup looking for you. Each company is looking for a way to innovate their industry and is looking to do so in creative and original ways. We are looking to match you with one of our amazing member companies based on the information you provide to us and their current needs. If you believe that you have the skills and vision to help digital startups get their start, 1871 is the right place for you!","Software Engineer - Platform TeamNarrative ScienceChicago, IL, United StatesFull-TimeAs part of the Platform Team, you will provide the foundation for developing applications and services on Quill, Narrative Science’s platform for auto-generating narratives from data. The Platform Team owns the systems that manage end-to-end triggering, generation and delivery of narratives as well as the public facing APIs to our systems. Your core aim is to make it trivial to spin up new computing environments on a laptop or in the cloud, tie together a wide variety of services and components, capture logs, schedule activity, monitor and track activity and alert on error conditions. You are also concerned with the general performance, stability and health of our systems. Your primary customers are the data engineers that build out our client projects and develop new data capabilities for Quill, the authoring engineers that build out Quill’s authoring and rendering systems and the UX engineers that build out the primary UI that our internal users and customers use to develop and publish narrative applications.RESPONSIBILITIESWork in an agile team: user story gathering, sprint planning, standups and reviewsWrite up your designs, get peer input before you codeWrite code on our backend services, client libraries and toolingSeek code reviews, code review peer workTest your code in our integration environmentDeploy and release code oftenAutomate wherever possibleWrite up docs and release notes of all your workHelp with production supportHelp with client projects as neededOwnership of certain components or systems, continuously work to improve themContinuously improve the scalability, performance and availability of our systems","QUALIFICATIONSSolid CS fundamentalsExperience developing in Unix systemsStrong communication skills, able to write and speak clearly, 1:1 or to groupFluency in Python strongly desired or experience with another scripting languageFamiliarity with AWS strongly desiredExperience developing distributed system preferredKnowledge of JavaScript and HTML5 a plusCustomer orientedTeam player and fun to work with","Working at Narrative Science offers you the opportunity to build a revolutionary platform, solve complex problems, deliver exceptional customer experiences, and ultimately, shape the future of the company.",0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,0
